SKU|Product Name|Price|Department
AV1051|JBL Bluetooth Speaker|89.95|Audio Video
AV1312|Mini 1000 Lumens Projector|149.95|Audio Video
GM1148|Retro Handheld Arcade|24.45|Games
PW1001|Solar Powered Battery Charger|19.99|Electronics
AV2204|Noise Cancelling Headphones|129.00|Audio Video
GM2050|Mechanical Gaming Keyboard|59.99|Games
EL3301|Smart LED Light Bulb|15.50|Electronics
EL4402|Wifi Security Camera|45.00|Electronics
AV5501|4K HDMI Cable (6ft)|12.99|Audio Video
GM3012|Wireless Gaming Mouse|34.95|Games
PW1020|USB-C Fast Charging Block|22.50|Electronics
AV1616|Vinyl Record Player|98.00|Audio Video
GM4400|Ergonomic Gaming Chair|189.99|Games
EL5560|Portable Power Bank|29.95|Electronics
AV7710|Digital Voice Recorder|39.00|Audio Video
HG1010|Self-Watering Planter|18.75|Home & Garden
HG2020|LED Desk Lamp|22.00|Office Supplies
FT3030|Yoga Mat (Extra Thick)|29.99|Fitness
FT4040|Adjustable Dumbbell Set|159.00|Fitness
OF5050|Noise-Cancelling Desk Divider|45.00|Office Supplies
HG6060|Electric Espresso Maker|84.50|Home & Garden
EL7070|Bluetooth Trackable Key Finder|24.00|Electronics
GM8080|Virtual Reality Headset|299.00|Games
AV9090|Studio Condenser Microphone|115.00|Audio Video
HG1111|Robot Vacuum Cleaner|210.00|Home & Garden
FT2222|Foam Roller|14.95|Fitness
OF3333|Standing Desk Converter|125.00|Office Supplies
EL4444|Wireless Charging Pad|19.50|Electronics
HG5555|Air Purifier with HEPA Filter|89.00|Home & Garden
FT6666|Smart Fitness Watch|135.00|Fitness